,start_station_name,value,start_lat,start_lng
0,11 St & Washington St,15502,40.74998490907138,-74.02715027332306
1,12 St & Sinatra Dr N,17137,40.75060414236896,-74.02402013540268
2,14 St Ferry - 14 St & Shipyard Ln,17066,40.752961,-74.024353
3,4 St & Grand St,10356,40.7422579775645,-74.03511106967926
4,5 Corners Library,3043,40.73496102000952,-74.0595030784607
5,6 St & Grand St,8030,40.7443978330956,-74.03450086712837
6,7 St & Monroe St,10199,40.74641264837719,-74.03797701001167
7,8 St & Washington St,14423,40.74598388291562,-74.02819901704788
8,9 St HBLR - Jackson St & 8 St,10578,40.74790720968899,-74.03841152787209
9,Adams St & 11 St,5697,40.750915534784994,-74.03354063630104
10,Adams St & 2 St,9270,40.73981372311843,-74.03690412640572
11,Astor Place,4779,40.71928220070702,-74.07126188278198
12,Baldwin at Montgomery,8501,40.7236589,-74.0641943
13,Bergen Ave,6068,40.722103786686034,-74.07145500183105
14,Bergen Ave & Sip Ave,10256,40.73100888698729,-74.06443700194359
15,Bergen Ave & Stegman St,1235,40.70657545063453,-74.0867006778717
16,Bloomfield St & 15 St,9790,40.75453,-74.02658
17,Brunswick & 6th,8907,40.72601172964625,-74.05038893222809
18,Brunswick St,8933,40.7241765,-74.0506564
19,Christ Hospital,5207,40.734785818,-74.050443636
20,Church Sq Park - 5 St & Park Ave,11895,40.74265933273143,-74.03223305940628
21,City Hall,14072,40.7177325,-74.043845
22,City Hall - Washington St & 1 St,23289,40.73736,-74.03097
23,Clinton St & 7 St,11394,40.74542,-74.03332
24,Clinton St & Newark St,11425,40.73743,-74.03571
25,Columbus Dr at Exchange Pl,16731,40.71687,-74.03281
26,Columbus Drive,11219,40.71835519823214,-74.03891444206238
27,Columbus Park - Clinton St & 9 St,11842,40.74816121065146,-74.0324530005455
28,Communipaw & Berry Lane,3595,40.71435836870427,-74.06661093235016
29,Dey St,2260,40.737711,-74.066921
30,Dixon Mills,6546,40.721630142638354,-74.04996782541275
31,Essex Light Rail,5859,40.7127742,-74.0364857
32,Fairmount Ave,5178,40.72572613742557,-74.07195925712585
33,Glenwood Ave,3662,40.72755146730012,-74.07106071710587
34,Grand St,10609,40.71517767732029,-74.03768330812454
35,Grand St & 14 St,11363,40.75409,-74.0316
36,Grant Ave & MLK Dr,615,40.70919832245443,-74.08084273338318
37,Grove St PATH,42556,40.71958611647166,-74.04311746358871
38,Hamilton Park,20477,40.727595966,-74.044247311
39,Harborside,15754,40.7192517,-74.034234
40,Heights Elevator,4364,40.74871594538023,-74.04044330120087
41,Hilltop,7139,40.7311689,-74.0575736
42,Hoboken Ave at Monmouth St,19501,40.73520838045357,-74.04696375131607
43,Hoboken Terminal - Hudson St & Hudson Pl,30244,40.73593758446329,-74.03030455112457
44,Hoboken Terminal - River St & Hudson Pl,33020,40.7360676564825,-74.02912706136703
45,Hudson St & 4 St,15883,40.74097260864355,-74.02860336005688
46,JC Medical Center,10031,40.71653978099194,-74.0496379137039
47,JCBS Depot,2,40.70965083364061,-74.06860113143921
48,Jackson Square,1523,40.71113,-74.0789
49,Jersey & 3rd,8499,40.72333158646436,-74.04595255851744
50,Jersey & 6th St,6684,40.72528910781132,-74.04557168483734
51,Journal Square,7797,40.73367,-74.0625
52,Lafayette Park,7141,40.71346382669195,-74.06285852193832
53,Leonard Gordon Park,4503,40.74590996631558,-74.0572714805603
54,Liberty Light Rail,14563,40.7112423,-74.0557013
55,Lincoln Park,4369,40.7246050998869,-74.07840594649315
56,MTL-ECO5-LAB,2,40.74716563443737,-74.08896387030836
57,Madison St & 1 St,14124,40.73879,-74.0393
58,Madison St & 10 St,8634,40.74994325412246,-74.03586477041245
59,Mama Johnson Field - 4 St & Jackson St,5988,40.74313993965626,-74.04004096984863
60,Manila & 1st,10515,40.72165072487999,-74.04288411140442
61,Marin Light Rail,19230,40.71458403535893,-74.04281705617905
62,Marshall St & 2 St,8389,40.740802,-74.042521
63,McGinley Square,10132,40.7253399253558,-74.06762212514877
64,Monmouth and 6th,6869,40.72568548362901,-74.04879033565521
65,Montgomery St,5719,40.71942,-74.05099
66,Morris Canal,8706,40.7124188237569,-74.03852552175522
67,Newark Ave,12164,40.72152515,-74.046304543
68,Newport PATH,19965,40.7272235,-74.0337589
69,Newport Pkwy,21961,40.7287448,-74.0321082
70,Oakland Ave,6475,40.7376037,-74.0524783
71,Paulus Hook,9671,40.7141454,-74.0335519
72,Pershing Field,6691,40.742677141,-74.051788633
73,Riverview Park,6424,40.7443187,-74.0439909
74,Sip Ave,10020,40.73089709786179,-74.06391263008118
75,South Waterfront Walkway - Sinatra Dr & 1 St,34245,40.73698221818716,-74.02778059244156
76,Southwest Park - Jackson St & Observer Hwy,9247,40.73755127245804,-74.04166370630264
77,Stevens - River Ter & 6 St,7865,40.74313282710551,-74.02698867022991
78,Union St,2423,40.7182113,-74.0836394
79,Van Vorst Park,10744,40.71848892,-74.047726625
80,Warren St,13575,40.7211236,-74.03805095
81,Washington St,15101,40.7242941,-74.0354826
82,Willow Ave & 12 St,9459,40.7518674823282,-74.03037697076797
83,York St & Marin Blvd,556,40.716615000830494,-74.0424120426178
